0	150
1	150
2	149
3	149
4	149
5	149
6	149
7	148
8	148
9	148
10	148
11	147
12	146
13	146
14	146
15	146
16	146
17	145
18	145
19	145
20	145
21	145
22	145
23	145
24	145
25	145
26	145
27	145
28	145
29	145
30	145
31	145
32	145
33	145
34	145
35	145
36	145
37	145
38	145
39	145
40	145
41	145
42	145
43	145
44	145
45	145
46	145
47	145
48	145
49	145
50	145
51	145
52	145
53	145
54	145
55	145
56	145
57	145
58	145
59	145
60	145
61	145
62	145
63	145
64	145
65	145
66	145
67	145
68	145
69	145
70	145
71	145
72	145
73	145
74	145
75	145
76	145
77	145
78	145
79	145
80	145
81	145
82	145
83	145
84	145
85	145
86	145
87	145
88	145
89	145
90	145
91	145
92	145
93	145
94	145
95	145
96	145
97	145
98	145
99	145
100	145
101	144
102	144
103	144
104	144
105	144
106	144
107	144
108	144
109	144
110	144
111	144
112	144
113	144
114	144
115	144
116	144
117	144
118	144
119	144
120	144
121	144
122	144
123	144
124	144
125	144
126	144
127	144
128	144
129	144
130	144
131	144
132	144
133	144
134	144
135	144
136	144
137	144
138	144
139	144
140	144
141	144
142	144
143	144
144	144
145	144
146	144
147	144
148	144
149	144
